test,number,frame,zero,partial,heavy
test1,1,14800,,,
test1,2,14801,,,
test1,3,14802,,,
test1,4,14803,,,
test1,5,14804,,,
test1,6,14805,,,
test1,7,14806,,1,
test1,8,14807,,,1
test1,9,14808,,,1
test1,10,14809,,,1
test1,11,14810,,,
test1,12,14811,,,
test1,13,14812,,,
test1,14,14813,,,
test1,15,14814,,,
test1,16,14815,,,
test1,17,14816,,3,
test1,18,14817,,,3
test1,19,14818,,,
test1,20,14819,,,
test1,21,14820,,,
test1,22,14821,,,
test1,23,14822,,,
test1,24,14823,,,
test1,25,14824,,,
test1,26,14825,,,
test1,27,14826,,,
test1,28,14827,,,
test1,29,14828,,,
test1,30,14829,,,
test1,31,14830,,,
test1,32,14831,,,
test1,33,14832,,,
test1,34,14833,,,
test1,35,14834,,,
test1,36,14835,,,
test1,37,14836,,,
test1,38,14837,,,
test1,39,14838,,,
test1,40,14839,,3,
test1,41,14840,,,3
test1,42,14841,,,1
test1,43,14842,,,1
test1,44,14843,,,
test1,45,14844,,,
test1,46,14845,,,
test1,47,14846,,,
test1,48,14847,1,,
test1,49,14848,,1,
test1,50,14849,,,1
test1,51,14850,,,1
test1,52,14851,,1,
test1,53,14852,,,
test1,54,14853,,,
test1,55,14854,,,
test1,56,14855,,,
test1,57,14856,,,
test1,58,14857,,,
test1,59,14858,,,
test1,60,14859,,,
test1,61,14860,,,
test1,62,14861,,,
test1,63,14862,,,
test1,64,14863,,,
test1,65,14864,,,
test1,66,14865,,,
test1,67,14866,,,
test1,68,14867,,,
test1,69,14868,,,
test1,70,14869,,,
test1,71,14870,,,
test1,72,14871,,,
test1,73,14872,,,
test1,74,14873,,,
test1,75,14874,,,
test1,76,14875,,,
test1,77,14876,,,
test1,78,14877,,,
test1,79,14878,,,
test1,80,14879,,1,
test1,81,14880,1,,2
test1,82,14881,2,,
test1,83,14882,2,,
test1,84,14883,2,,
test1,85,14884,2,,
test1,86,14885,2,,
test1,87,14886,2,,
test1,88,14887,2,,
test1,89,14888,2,,
test1,90,14889,2,,
test1,91,14890,2,,
test1,92,14891,,1,
test1,93,14892,,1,
test1,94,14893,,1,
test1,95,14894,,,1
test1,96,14895,,,
test1,97,14896,,,
test1,98,14897,,,
test1,99,14898,,,
test1,100,14899,,,
test2,1,9900,,,
test2,2,9901,,,
test2,3,9902,,,3
test2,4,9903,,3,
test2,5,9904,,,
test2,6,9905,,,
test2,7,9906,,,
test2,8,9907,,,
test2,9,9908,,,
test2,10,9909,,1,
test2,11,9910,,,
test2,12,9911,,,
test2,13,9912,,,
test2,14,9913,,1,1
test2,15,9914,,3,
test2,16,9915,,,
test2,17,9916,,,
test2,18,9917,,,
test2,19,9918,,,1
test2,20,9919,,1,
test2,21,9920,,3,1
test2,22,9921,1,,4
test2,23,9922,1,1,1
test2,24,9923,,1,2
test2,25,9924,,,2
test2,26,9925,,,
test2,27,9926,,,
test2,28,9927,,,
test2,29,9928,,1,
test2,30,9929,,,
test2,31,9930,,,
test2,32,9931,,,
test2,33,9932,,,
test2,34,9933,,,
test2,35,9934,,,1
test2,36,9935,,,
test2,37,9936,,,
test2,38,9937,,,
test2,39,9938,,1,
test2,40,9939,,,
test2,41,9940,,1,
test2,42,9941,,,
test2,43,9942,,,1
test2,44,9943,,,1
test2,45,9944,,,
test2,46,9945,,,
test2,47,9946,,,
test2,48,9947,,,
test2,49,9948,,,
test2,50,9949,,,
test2,51,9950,,,1
test2,52,9951,,,
test2,53,9952,1,1,
test2,54,9953,2,,
test2,55,9954,2,,1
test2,56,9955,2,,1
test2,57,9956,2,,
test2,58,9957,2,,
test2,59,9958,2,,
test2,60,9959,,2,
test2,61,9960,,2,1
test2,62,9961,,3,
test2,63,9962,,2,1
test2,64,9963,,3,
test2,65,9964,,2,
test2,66,9965,,2,
test2,67,9966,,2,
test2,68,9967,,1,1
test2,69,9968,,2,1
test2,70,9969,,3,1
test2,71,9970,,1,1
test2,72,9971,,1,1
test2,73,9972,,1,1
test2,74,9973,,1,1
test2,75,9974,,1,1
test2,76,9975,,1,1
test2,77,9976,,1,1
test2,78,9977,,1,1
test2,79,9978,,2,
test2,80,9979,,1,1
test2,81,9980,,,2
test2,82,9981,,,
test2,83,9982,,,
test2,84,9983,,,
test2,85,9984,,,
test2,86,9985,,,
test2,87,9986,,,
test2,88,9987,,,
test2,89,9988,,,
test2,90,9989,1,,1
test2,91,9990,2,,
test2,92,9991,,,1
test2,93,9992,,,
test2,94,9993,,,
test2,95,9994,,,
test2,96,9995,,1,
test2,97,9996,,,1
test2,98,9997,,,1
test2,99,9998,,,
test2,100,9999,,,
test3,1,9000,3,1,2
test3,2,9001,1,2,3
test3,3,9002,1,2,3
test3,4,9003,1,4,1
test3,5,9004,3,1,2
test3,6,9005,2,2,2
test3,7,9006,3,2,1
test3,8,9007,4,,2
test3,9,9008,3,1,2
test3,10,9009,4,,2
